排名,代號,名稱,收盤價,綜合評分,投資等級,技術評分,基本面評分,風險等級,交易訊號,信心度,倉位建議,持有期間,EPS,ROE,本益比,負債比,核心論點,主要優勢,主要風險
1,5274,信驊,$5550.00,87.7,A+,94,77,低,BUY,95%,可配置20-30%資金,中長期持有 (3-6個月),83.88,69.5%,66.2,0.0%,基本面優異且技術面向好，具備中長期投資價值,基本面表現優異 | 技術面趨勢明確,高本益比 66.2 - 估值風險
2,9938,百和,$56.90,85.9,A+,96,70,低,BUY,95%,可配置20-30%資金,中長期持有 (3-6個月),4.67,10.6%,12.2,0.0%,基本面優異且技術面向好，具備中長期投資價值,基本面表現優異 | 技術面趨勢明確,風險可控
3,2376,技嘉,$299.00,85.3,A+,88,67,低,BUY,95%,可配置20-30%資金,中長期持有 (3-6個月),15.53,26.2%,19.3,0.0%,基本面穩健，短期動能強勁，適合波段操作,技術面趨勢明確 | 風險控制良好,風險可控
4,1570,力肯,$31.65,85.0,A+,85,70,低,BUY,95%,可配置20-30%資金,中長期持有 (3-6個月),1.64,8.8%,19.3,0.0%,基本面優異且技術面向好，具備中長期投資價值,基本面表現優異 | 技術面趨勢明確,風險可控
5,1783,和康生,$47.90,84.2,A+,89,62,低,BUY,95%,可配置20-30%資金,中長期持有 (3-6個月),2.31,15.2%,20.7,0.0%,基本面穩健，短期動能強勁，適合波段操作,技術面趨勢明確 | 風險控制良好,風險可控
6,6953,家碩,$242.50,83.5,A+,94,53,低,BUY,95%,可配置20-30%資金,中長期持有 (3-6個月),7.61,15.8%,31.9,0.0%,基本面穩健，短期動能強勁，適合波段操作,技術面趨勢明確 | 風險控制良好,風險可控
7,3017,奇鋐,$1100.00,83.0,A+,80,70,低,BUY,90%,可配置20-30%資金,中長期持有 (3-6個月),29.83,42.2%,36.9,0.0%,基本面優異且技術面向好，具備中長期投資價值,基本面表現優異 | 技術面趨勢明確,風險可控
8,5410,國眾,$36.55,82.3,A+,97,45,低,BUY,95%,可配置20-30%資金,中長期持有 (3-6個月),2.15,14.3%,17.0,0.0%,綜合評估一般，需要更多催化劑,技術面趨勢明確 | 風險控制良好,風險可控
9,4105,東洋,$79.10,81.8,A+,82,75,低,BUY,95%,可配置20-30%資金,中長期持有 (3-6個月),6.35,24.7%,12.5,0.0%,基本面優異且技術面向好，具備中長期投資價值,基本面表現優異 | 技術面趨勢明確,風險可控
10,2545,皇翔,$43.50,81.3,A+,77,80,低,BUY,67%,可配置20-30%資金,中長期持有 (3-6個月),7.84,19.4%,5.5,0.0%,基本面優異且技術面向好，具備中長期投資價值,基本面表現優異 | 技術面趨勢明確,風險可控
